student_id,major,skills,interests
S2021001,市场营销,"市场调研,Python,机器学习",人工智能
S2021002,数字媒体技术,"写作,Python,项目管理,C++","教育科技,人机交互,可持续发展"
S2021003,计算机科学与技术,"PS,写作,市场调研,SQL,商业分析","游戏开发,人工智能"
S2021004,计算机科学与技术,"UI设计,PS,市场调研","社交网络,金融科技"
S2021005,数字媒体技术,"PS,C++","社交网络,可持续发展,教育科技"
S2021006,软件工程,"UI设计,C++,数据分析","教育科技,金融科技"
S2021007,软件工程,"PPT,Java","人机交互,游戏开发,教育科技"
S2021008,工商管理,"SQL,C++,PPT,市场调研","人工智能,游戏开发,教育科技"
S2021009,数字媒体技术,"数据分析,写作,Java,PPT,项目管理",教育科技
S2021010,市场营销,"写作,数据分析,项目管理",社交网络
S2021011,数字媒体技术,"Web开发,数据分析","社交网络,电子商务"
S2021012,计算机科学与技术,"机器学习,PS,UI设计,商业分析,SQL","电子商务,游戏开发"
S2021013,计算机科学与技术,"Web开发,PS,SQL",游戏开发
S2021014,信息管理与信息系统,"数据分析,PS,PPT,UI设计","可持续发展,游戏开发"
S2021015,市场营销,"Web开发,PS","金融科技,游戏开发,电子商务"
S2021016,市场营销,"数据分析,PS","游戏开发,金融科技"
S2021017,软件工程,"Web开发,C++,UI设计","可持续发展,人机交互"
S2021018,计算机科学与技术,"PPT,PS,项目管理,UI设计,市场调研","教育科技,游戏开发,人机交互"
S2021019,数字媒体技术,"项目管理,SQL,C++","人工智能,电子商务"
S2021020,工商管理,"数据分析,Web开发,商业分析,写作,UI设计","人机交互,教育科技,金融科技"
S2021021,软件工程,"商业分析,Python,PPT,UI设计",金融科技
S2021022,信息管理与信息系统,"Java,商业分析,PS,UI设计","教育科技,游戏开发"
S2021023,计算机科学与技术,"Web开发,PPT",人工智能
S2021024,软件工程,"机器学习,UI设计,项目管理,市场调研,C++",电子商务
S2021025,计算机科学与技术,"PS,Web开发","教育科技,人工智能"
S2021026,金融学,"UI设计,商业分析","金融科技,游戏开发"
S2021027,工商管理,"写作,PS,商业分析,数据分析,UI设计",可持续发展
S2021028,信息管理与信息系统,"Python,商业分析,UI设计,PS,机器学习",社交网络
S2021029,视觉传达设计,"PS,写作","人工智能,人机交互"
S2021030,市场营销,"Python,写作,市场调研","教育科技,可持续发展"
S2021031,视觉传达设计,"C++,数据分析,PPT,商业分析",游戏开发
S2021032,软件工程,"机器学习,Web开发,Java",人工智能
S2021033,计算机科学与技术,"SQL,UI设计,市场调研,机器学习,Python","社交网络,电子商务"
S2021034,软件工程,"PS,C++","电子商务,社交网络"
S2021035,数字媒体技术,"市场调研,PPT,项目管理","金融科技,游戏开发"
S2021036,市场营销,"Java,项目管理,SQL,Python","人机交互,金融科技,社交网络"
S2021037,视觉传达设计,"写作,PPT,UI设计,项目管理,市场调研","金融科技,游戏开发"
S2021038,软件工程,"项目管理,Java,市场调研,C++","电子商务,可持续发展,社交网络"
S2021039,计算机科学与技术,"PPT,项目管理,SQL,Web开发,C++","人工智能,电子商务,社交网络"
S2021040,市场营销,"Python,PS",可持续发展
S2021041,金融学,"Web开发,PPT,Java","人机交互,电子商务,游戏开发"
S2021042,数字媒体技术,"PS,Python,项目管理,商业分析","人工智能,游戏开发"
S2021043,计算机科学与技术,"C++,数据分析,Web开发,写作","游戏开发,人工智能,电子商务"
S2021044,工商管理,"项目管理,机器学习,PPT,Python","游戏开发,社交网络,电子商务"
S2021045,金融学,"C++,Python","社交网络,游戏开发,可持续发展"
S2021046,软件工程,"Python,写作,市场调研,SQL","可持续发展,人工智能,游戏开发"
S2021047,金融学,"UI设计,数据分析,机器学习","可持续发展,教育科技"
S2021048,工商管理,"市场调研,Python,Java,PPT","人机交互,教育科技"
S2021049,视觉传达设计,"Web开发,数据分析","可持续发展,人机交互"
S2021050,视觉传达设计,"Java,项目管理,数据分析",教育科技
S2021051,视觉传达设计,"Web开发,UI设计,Java,Python,PS","教育科技,人工智能"
S2021052,计算机科学与技术,"写作,机器学习,PS",电子商务
S2021053,视觉传达设计,"Java,Python,UI设计,商业分析,数据分析",人工智能
S2021054,计算机科学与技术,"PPT,Web开发,写作","可持续发展,金融科技,教育科技"
S2021055,金融学,"写作,数据分析,市场调研,机器学习","社交网络,金融科技"
S2021056,视觉传达设计,"PPT,Java","游戏开发,可持续发展,人工智能"
S2021057,工商管理,"PPT,项目管理,Web开发,数据分析","电子商务,可持续发展"
S2021058,数字媒体技术,"Python,市场调研","人工智能,可持续发展"
S2021059,工商管理,"数据分析,Python","教育科技,金融科技"
S2021060,计算机科学与技术,"Web开发,市场调研,写作,数据分析","人机交互,人工智能,可持续发展"
S2021061,计算机科学与技术,"机器学习,商业分析,Web开发,项目管理","金融科技,电子商务"
S2021062,视觉传达设计,"PS,市场调研","金融科技,可持续发展,游戏开发"
S2021063,软件工程,"商业分析,数据分析,Java,写作,SQL",可持续发展
S2021064,信息管理与信息系统,"数据分析,Web开发,Python,UI设计,项目管理","游戏开发,教育科技"
S2021065,软件工程,"写作,C++,Java,PS",人机交互
S2021066,金融学,"机器学习,PS,市场调研,PPT,SQL","人机交互,金融科技"
S2021067,金融学,"数据分析,C++,SQL,Java","教育科技,人工智能,游戏开发"
S2021068,视觉传达设计,"UI设计,项目管理",电子商务
S2021069,数字媒体技术,"写作,PPT,SQL,机器学习,商业分析","人工智能,人机交互"
S2021070,视觉传达设计,"PPT,UI设计","金融科技,人机交互,电子商务"
S2021071,数字媒体技术,"UI设计,SQL,PS,Java,机器学习","教育科技,社交网络"
S2021072,计算机科学与技术,"写作,Web开发","可持续发展,电子商务"
S2021073,金融学,"Python,PS,PPT,机器学习,SQL","教育科技,人工智能,游戏开发"
S2021074,信息管理与信息系统,"PPT,数据分析,C++,UI设计,写作","人工智能,教育科技,人机交互"
S2021075,工商管理,"Web开发,PS","社交网络,教育科技,游戏开发"
S2021076,软件工程,"项目管理,SQL,Python,UI设计","金融科技,电子商务"
S2021077,金融学,"项目管理,PS,SQL,写作",社交网络
S2021078,数字媒体技术,"Python,Web开发,SQL,Java,C++",电子商务
S2021079,计算机科学与技术,"Web开发,数据分析,市场调研,项目管理",教育科技
S2021080,市场营销,"SQL,机器学习,写作,Python",游戏开发
S2021081,数字媒体技术,"数据分析,Java,SQL,C++,PS","人机交互,金融科技,可持续发展"
S2021082,信息管理与信息系统,"机器学习,项目管理,商业分析,Java","社交网络,金融科技,人工智能"
S2021083,数字媒体技术,"PS,数据分析","金融科技,人机交互"
S2021084,数字媒体技术,"UI设计,商业分析",金融科技
S2021085,视觉传达设计,"UI设计,PS,市场调研,Java","人机交互,电子商务,人工智能"
S2021086,软件工程,"机器学习,Java,UI设计,SQL,数据分析","人工智能,电子商务,可持续发展"
S2021087,信息管理与信息系统,"写作,PPT",人工智能
S2021088,软件工程,"C++,Java,市场调研,商业分析,UI设计",金融科技
S2021089,工商管理,"C++,UI设计,市场调研,机器学习,Java",可持续发展
S2021090,数字媒体技术,"市场调研,写作,SQL,UI设计,Web开发","社交网络,金融科技"
S2021091,数字媒体技术,"PPT,UI设计,写作,项目管理,C++",金融科技
S2021092,工商管理,"Java,商业分析,市场调研,PS","教育科技,电子商务,社交网络"
S2021093,数字媒体技术,"Web开发,C++,SQL","电子商务,人工智能"
S2021094,视觉传达设计,"SQL,Python,市场调研,Web开发,写作","社交网络,电子商务,可持续发展"
S2021095,市场营销,"PS,数据分析","游戏开发,电子商务"
S2021096,市场营销,"Python,写作,商业分析,项目管理","金融科技,可持续发展,人工智能"
S2021097,计算机科学与技术,"商业分析,Python,数据分析,SQL,UI设计",金融科技
S2021098,市场营销,"SQL,C++,Java,数据分析","人机交互,金融科技,教育科技"
S2021099,计算机科学与技术,"PS,市场调研",人机交互
S2021100,视觉传达设计,"数据分析,机器学习,PS,商业分析",人机交互
S2021101,金融学,"市场调研,数据分析,UI设计,C++","人机交互,游戏开发"
S2021102,金融学,"PS,市场调研",人机交互
S2021103,视觉传达设计,"项目管理,PPT",游戏开发
S2021104,视觉传达设计,"项目管理,机器学习,Java,Web开发",电子商务
S2021105,工商管理,"数据分析,Web开发,Java","人工智能,游戏开发"
S2021106,软件工程,"PPT,PS,Java",人工智能
S2021107,信息管理与信息系统,"PPT,写作,项目管理,Java","金融科技,教育科技"
S2021108,金融学,"PS,市场调研",人机交互
S2021109,金融学,"写作,机器学习,Web开发","金融科技,人机交互,电子商务"
S2021110,计算机科学与技术,"SQL,UI设计,项目管理,市场调研,商业分析","金融科技,可持续发展,电子商务"
S2021111,视觉传达设计,"项目管理,写作,数据分析,PS,市场调研",游戏开发
S2021112,信息管理与信息系统,"机器学习,PS","金融科技,教育科技"
S2021113,计算机科学与技术,"写作,PS,UI设计,Web开发,项目管理",社交网络
S2021114,数字媒体技术,"C++,Java,PPT","游戏开发,电子商务"
S2021115,数字媒体技术,"市场调研,PPT,数据分析,机器学习","可持续发展,社交网络,教育科技"
S2021116,数字媒体技术,"机器学习,数据分析,C++,写作","教育科技,人工智能,电子商务"
S2021117,金融学,"数据分析,商业分析,写作,PPT,UI设计","电子商务,金融科技,游戏开发"
S2021118,视觉传达设计,"PS,PPT,写作,Web开发,C++","人工智能,教育科技,可持续发展"
S2021119,软件工程,"项目管理,商业分析,PS,机器学习,写作","电子商务,可持续发展,社交网络"
S2021120,信息管理与信息系统,"机器学习,市场调研",人工智能
S2021121,工商管理,"PS,数据分析,写作,项目管理","游戏开发,人机交互,人工智能"
S2021122,信息管理与信息系统,"项目管理,SQL,PPT",教育科技
S2021123,视觉传达设计,"Python,商业分析,PS,UI设计","电子商务,金融科技,游戏开发"
S2021124,计算机科学与技术,"Python,机器学习,市场调研,C++,写作","教育科技,社交网络,金融科技"
S2021125,软件工程,"SQL,PPT,项目管理,PS","金融科技,人机交互,可持续发展"
S2021126,计算机科学与技术,"市场调研,UI设计,Java","人工智能,社交网络"
S2021127,金融学,"机器学习,C++,UI设计,Web开发","人机交互,金融科技,社交网络"
S2021128,信息管理与信息系统,"商业分析,项目管理,数据分析,Web开发","社交网络,电子商务"
S2021129,计算机科学与技术,"商业分析,Web开发,PS",电子商务
S2021130,信息管理与信息系统,"Python,数据分析,UI设计,市场调研,Web开发","电子商务,人工智能"
S2021131,金融学,"Python,项目管理,写作,UI设计",金融科技
S2021132,金融学,"PS,写作","可持续发展,金融科技,教育科技"
S2021133,工商管理,"Python,Java,市场调研","可持续发展,社交网络"
S2021134,信息管理与信息系统,"项目管理,机器学习",社交网络
S2021135,数字媒体技术,"PS,Java,Web开发,写作,PPT","可持续发展,社交网络"
S2021136,工商管理,"项目管理,Web开发,商业分析,UI设计,Java",电子商务
S2021137,信息管理与信息系统,"机器学习,数据分析","教育科技,游戏开发,电子商务"
S2021138,视觉传达设计,"Python,Web开发",人工智能
S2021139,工商管理,"Python,数据分析,项目管理,UI设计,Java","可持续发展,社交网络"
S2021140,工商管理,"项目管理,SQL,写作,Web开发,PPT","可持续发展,社交网络"
S2021141,视觉传达设计,"UI设计,Python,市场调研,项目管理,写作","可持续发展,人工智能"
S2021142,信息管理与信息系统,"SQL,商业分析,写作,Web开发","教育科技,人机交互"
S2021143,数字媒体技术,"C++,项目管理,商业分析,SQL","人机交互,电子商务,教育科技"
S2021144,视觉传达设计,"Python,数据分析","电子商务,社交网络"
S2021145,工商管理,"写作,Web开发,机器学习","电子商务,游戏开发,人工智能"
S2021146,软件工程,"商业分析,数据分析,机器学习","人机交互,电子商务,金融科技"
S2021147,软件工程,"机器学习,PS,Java","人机交互,金融科技,电子商务"
S2021148,视觉传达设计,"UI设计,Web开发,Java,商业分析,PS","人工智能,游戏开发,社交网络"
S2021149,数字媒体技术,"数据分析,UI设计","人工智能,可持续发展"
S2021150,数字媒体技术,"PPT,写作","人机交互,教育科技,游戏开发"
S2021151,金融学,"C++,项目管理,写作","人工智能,游戏开发,电子商务"
S2021152,工商管理,"数据分析,PPT,PS","社交网络,教育科技"
S2021153,数字媒体技术,"SQL,UI设计,C++,Python,项目管理","电子商务,社交网络,可持续发展"
S2021154,信息管理与信息系统,"C++,SQL,数据分析,市场调研","电子商务,可持续发展,社交网络"
S2021155,信息管理与信息系统,"SQL,UI设计,C++,机器学习,写作","教育科技,可持续发展"
S2021156,工商管理,"市场调研,商业分析,C++",可持续发展
S2021157,视觉传达设计,"机器学习,项目管理",电子商务
S2021158,信息管理与信息系统,"项目管理,PS,C++,商业分析,机器学习","金融科技,可持续发展,教育科技"
S2021159,市场营销,"数据分析,PPT,Python,写作,SQL","社交网络,教育科技"
S2021160,信息管理与信息系统,"数据分析,SQL,市场调研,写作","游戏开发,教育科技"
S2021161,软件工程,"数据分析,C++,UI设计,SQL","社交网络,游戏开发,电子商务"
S2021162,工商管理,"PPT,机器学习,SQL","人工智能,社交网络"
S2021163,金融学,"UI设计,商业分析,Java",教育科技
S2021164,市场营销,"SQL,商业分析,Web开发,Java,UI设计","可持续发展,金融科技"
S2021165,数字媒体技术,"机器学习,写作,PS","金融科技,人工智能,可持续发展"
S2021166,信息管理与信息系统,"市场调研,Web开发,数据分析,Java","人机交互,游戏开发,金融科技"
S2021167,数字媒体技术,"Python,SQL,UI设计",教育科技
S2021168,计算机科学与技术,"Web开发,Java,机器学习,Python",人工智能
S2021169,金融学,"Python,数据分析,项目管理","教育科技,社交网络"
S2021170,金融学,"商业分析,SQL,Java,UI设计,项目管理","可持续发展,金融科技,人机交互"
S2021171,视觉传达设计,"Web开发,Java,UI设计,写作,项目管理",教育科技
S2021172,市场营销,"PPT,C++,Web开发,SQL","电子商务,游戏开发,教育科技"
S2021173,工商管理,"商业分析,写作,项目管理",电子商务
S2021174,金融学,"写作,Python,机器学习,SQL","教育科技,金融科技,游戏开发"
S2021175,金融学,"PS,数据分析,写作,SQL","可持续发展,金融科技,社交网络"
S2021176,视觉传达设计,"Java,SQL","人工智能,电子商务,可持续发展"
S2021177,工商管理,"商业分析,PPT,市场调研,C++","金融科技,人工智能,社交网络"
S2021178,金融学,"SQL,PS,写作","金融科技,人工智能"
S2021179,金融学,"PPT,机器学习",社交网络
S2021180,市场营销,"项目管理,写作",可持续发展
S2021181,数字媒体技术,"SQL,数据分析,Web开发,市场调研,UI设计","人工智能,社交网络"
S2021182,工商管理,"数据分析,PS",电子商务
S2021183,市场营销,"SQL,商业分析,Python","可持续发展,人工智能"
S2021184,工商管理,"市场调研,数据分析,PS","社交网络,游戏开发"
S2021185,数字媒体技术,"SQL,机器学习,UI设计,Web开发,PS","可持续发展,人机交互"
S2021186,数字媒体技术,"C++,Python,数据分析,商业分析","游戏开发,社交网络,人工智能"
S2021187,工商管理,"Python,数据分析,机器学习,Java","电子商务,可持续发展"
S2021188,软件工程,"Python,PS,机器学习,PPT,Web开发",可持续发展
S2021189,市场营销,"项目管理,市场调研,Python",金融科技
S2021190,软件工程,"C++,PS",可持续发展
S2021191,软件工程,"数据分析,Java,市场调研,机器学习","游戏开发,社交网络,可持续发展"
S2021192,工商管理,"PPT,C++,数据分析,Web开发,市场调研","人工智能,教育科技"
S2021193,金融学,"C++,Web开发,机器学习,SQL",金融科技
S2021194,软件工程,"Web开发,Java,项目管理","可持续发展,游戏开发"
S2021195,市场营销,"机器学习,Web开发,市场调研,PPT","电子商务,金融科技"
S2021196,金融学,"UI设计,PS,Web开发,Python,写作","游戏开发,电子商务"
S2021197,数字媒体技术,"商业分析,PPT","金融科技,可持续发展,人机交互"
S2021198,数字媒体技术,"Python,PPT,C++,商业分析",人机交互
S2021199,工商管理,"PS,写作,PPT,UI设计,市场调研","金融科技,游戏开发,可持续发展"
S2021200,金融学,"市场调研,机器学习,C++,Java",可持续发展
